date,price,market_cap,volume_24h
2025-01-02,94384.1761153871,1869193319140.2422,23275007789.496334
2025-01-03,96852.14681235075,1917905016063.62,45157338602.617516
2025-01-04,98084.34279280754,1942834829349.9563,35721645948.10051
2025-01-05,98256.73876849933,1946611205641.351,20979035420.980793
2025-01-06,98364.58946599838,1948339898718.8586,20060293834.7155
2025-01-07,102229.39453189743,2024825178619.8228,46111387334.46171
2025-01-08,96952.09886774956,1919133187081.3127,60610257147.15405
2025-01-09,95016.71440989176,1885313354913.7239,65790469838.34392
2025-01-10,92376.27578346101,1832933628117.9436,65850881574.76184
2025-01-11,94736.6267420969,1876836759923.398,63433655716.757095
2025-01-12,94559.55167224213,1874286243377.8525,17836423168.41627
2025-01-13,94454.77089638807,1870314882306.9236,19608932595.53299
2025-01-14,94456.3493746993,1870609367804.8223,76328330233.31137
2025-01-15,96574.07768799194,1912603332624.1123,51241728228.81719
2025-01-16,100313.15239828422,1986831430651.8647,57637319739.543396
2025-01-17,100044.57926776377,1980935754458.284,50150102497.2729
2025-01-18,104160.69358484233,2063854663834.0774,69135117732.00064
2025-01-19,104334.61575724394,2067151195362.0425,49416447749.13053
2025-01-20,101275.33714814208,2014842808849.5005,72970313683.92325
2025-01-21,101764.90860170545,2017837068202.1384,120158523166.88387
2025-01-22,106182.2368201815,2098829000928.49,95344290057.8965
2025-01-23,103673.53509537787,2054288661793.9773,55030669602.56557
2025-01-24,104067.60991206947,2062360759045.0,102455227371.20761
2025-01-25,104835.19253555956,2076156720642.786,51418786362.7815
2025-01-25,105262.76888760531,2081754456179.8767,30610195034.341892
