date,price,market_cap,volume_24h,anomaly_score,is_anomaly
2024-10-28,67938.55412885673,1343350549900.1233,16533385730.434193,-1,Anomaly
2024-11-03,69299.16036699413,1370516856365.7996,14709379754.965973,-1,Anomaly
2024-11-07,75620.88606963192,1496392703840.9058,128492534668.23853,-1,Anomaly
2024-11-13,88264.59974582895,1741113172482.1245,152356811694.44943,-1,Anomaly
2024-12-06,97201.5003640774,1920742551503.6091,190460293531.538,-1,Anomaly
